Comment,Designator,Footprint,LCSC
100nF,"C1, C2, C4, C5, C7,C8, C18",C0402,C1525
100nF 50V,"C3, C16",C0402,C307331
1uF,C6,C0603,C15849
47uF 6.3V,C15,C0805,C16780
22uF 25V,C17,C0805,C45783
18pF 50V,C19,C0402,C1549
ES05D1MC10,"D2, D3",DFN1006-2L_L1.0-W0.6-P0.65-BI,C5137770
TPNSR05F40NXT5G,D4,D0402,C28642302
S5B-EH(LF)(SN),J1,CONN-TH_S5B-EH-LF-SN,C265103
USB-TYPE-C-017,J2,USB-TYPE-C-SMD_C9900008089,C2927037
TS-1088-AR02016,"BootSwitch1, ResetSwitch1, MatterSwitch1",SW-SMD_L3.9-W3.0-P4.45,C720477
TPS562246DRLR,U1,SOT-5X3-6_L1.6-W1.2-P0.50-LS1.6-BR,C41833479
ESP32-C6-MINI-1,U2,ESP32-C6-MINI-1,C5736265
"BSS138PS,115",Q1,SOT-363_L2.0-W1.3-P0.65-LS2.1-BR,C193381
10k,"R1, R2, R3",R0402,C25744
5.1k,"R4, R7",R0402,C25905
150k,"R5, R6",R0603,C22807
33k,R8,R0402,C25779
220,R9,R0402,C25091
4.7uH,L1,IND-SMD_L4.9-W4.9_NRS50XX,C307876
